lat,lng,trips_total
42.3581,-71.0932,28885
42.35218,-71.05555,28328
42.36594,-71.06051,21035
42.36243,-71.09019,19619
42.36246,-71.08497,19335
42.35085,-71.08989,19244
42.36356,-71.10042,18030
42.36507,-71.1031,17831
42.34967,-71.0773,17228
42.34743,-71.07616,17036
42.36069,-71.07088,17006
42.37327,-71.11858,15563
42.34905,-71.09683,15297
42.36628,-71.09169,13912
42.34876,-71.08238,13776
42.35714,-71.0507,13525
42.3511,-71.0496,13324
42.36643,-71.1055,12848
42.35675,-71.05541,12745
42.34596,-71.08258,12445
42.36128,-71.06514,12245
42.34727,-71.08809,11636
42.36387,-71.05088,11221
42.34386,-71.08592,11184
42.36281,-71.05607,11154
42.34872,-71.08595,11122
42.34152,-71.06892,11096
42.37403,-71.10143,10890
42.3521,-71.07038,10738
42.36261,-71.0841,10701
42.35099,-71.07364,10405
42.3556,-71.07278,10348
42.3554,-71.05809,10235
42.35892,-71.05763,10001
42.34476,-71.09788,9476
42.33862,-71.07418,9309
42.388,-71.11908,9296
42.35241,-71.06268,9253
42.34391,-71.10222,9228
42.3408,-71.08157,9143
42.39697,-71.12302,9058
42.34133,-71.07685,8830
42.37338,-71.11107,8791
42.35977,-71.0516,8759
42.35498,-71.06335,8732
42.33644,-71.07309,8639
42.33717,-71.1028,8610
42.36622,-71.05991,8548
42.34539,-71.06962,8272
42.36698,-71.07647,8170
42.37224,-71.12185,7914
42.3707,-71.07711,7764
42.35131,-71.11617,7647
42.35695,-71.11369,7625
42.37185,-71.06029,7501
42.37855,-71.10654,7423
42.36662,-71.11421,7325
42.36507,-71.11958,7254
42.37297,-71.09444,7230
42.35007,-71.10588,7225
42.37323,-71.12089,7193
42.3416,-71.12334,7087
42.33863,-71.1065,6945
42.37637,-71.11402,6892
42.3708,-71.10441,6725
42.35136,-71.05937,6712
42.35115,-71.06629,6642
42.37795,-71.11687,6631
42.35226,-71.12383,6218
42.3756,-71.06461,5739
42.35182,-71.04546,5595
42.37964,-71.09532,5582
42.38029,-71.12511,5536
42.34181,-71.09018,5452
42.36058,-71.05687,5345
42.34883,-71.04175,5343
42.37901,-71.11995,5210
42.33591,-71.0885,5085
42.35341,-71.04462,5013
42.37834,-71.04893,4994
42.33407,-71.10522,4961
42.34753,-71.10583,4943
42.34002,-71.10081,4587
42.34861,-71.13401,4360
42.3328,-71.1162,4245
42.3834,-71.10759,4231
42.3403,-71.10993,3930
42.36983,-71.1182,3770
42.34402,-71.05705,3661
42.38558,-71.11334,3580
42.36373,-71.12457,3387
42.33157,-71.09473,3383
42.3661,-71.08639,3335
42.36337,-71.12979,3323
42.33933,-71.13493,3307
42.34656,-71.12837,3218
42.39783,-71.13052,3173
42.35333,-71.13731,3075
42.40276,-71.12691,2593
42.3475,-71.0441,2393
42.33488,-71.0791,2386
42.33072,-71.05704,2150
42.38643,-71.09641,2070
42.35605,-71.06985,1886
42.36167,-71.13802,1651
42.40449,-71.12341,1649
42.39082,-71.10942,1549
42.40088,-71.11677,1441
42.40015,-71.11271,1400
42.32594,-71.06593,1233
42.35851,-71.05298,1224
42.35697,-71.14544,1008
42.32865,-71.0842,908
42.32049,-71.05112,841
42.33569,-71.04586,805
42.32533,-71.07535,696
42.34573,-71.10069,660
42.33574,-71.03877,651
42.321,-71.11083,627
42.35041,-71.07655,586
42.31182,-71.0357,515
42.31058,-71.10734,446
42.31309,-71.11418,445
42.394,-71.12041,382
42.30947,-71.11565,361
42.37702,-71.05661,319
42.32291,-71.10016,234
42.31569,-71.09863,209
42.32056,-71.06198,142
42.31723,-71.06542,74
